Date,State,Region_Index,ANC_Registered,Adult_Death_TB,Adult_Suicide,C_Section,Child_Diarrhoea,Child_Malaria,Child_TB,Condoms_Distributed,Early_Breastfeeding,Immunization_MR,Infant_Death_Sepsis,Institutional_Delivery,Low_Birth_Weight,Maternal_Death_Bleeding,PW_Hypertension,Severe_Anaemia_Treated
01-01-2019,Punjab,1,311,0,0,139,40,0,0,12491,236,269,0,310,12,0,5,4
01-01-2019,Rajasthan,0,3406,3,4,114,801,16,4,92556,2146,1978,3,2203,300,0,31,80
01-01-2019,Rajasthan,1,1183,3,1,331,101,2,2,9221,1136,365,5,1455,208,0,43,52
01-01-2019,Sikkim,0,22,0,0,4,10,0,0,620,10,14,0,12,1,0,1,0
01-01-2019,Sikkim,1,3,0,0,4,0,0,0,66,3,3,0,7,1,0,0,0
01-01-2019,Tamil Nadu,0,1875,3,18,388,1637,2,0,11132,882,1763,2,1112,157,0,81,47
01-01-2019,Tamil Nadu,1,838,0,1,719,115,0,0,4767,1013,691,0,1406,164,0,31,20
01-01-2019,Telangana,0,1326,2,8,454,81,1,1,9730,835,1219,0,967,65,0,33,41
01-01-2019,Telangana,1,764,0,0,360,55,2,0,1606,447,553,0,711,46,0,22,14
01-01-2019,Tripura,0,167,0,1,24,30,3,0,399,112,127,0,118,14,0,3,2
01-01-2019,Tripura,1,12,0,0,11,1,0,0,56,17,10,0,18,2,0,0,0
01-01-2019,Uttar Pradesh,0,15496,2,2,511,1183,30,18,87808,9272,12289,2,8381,1111,3,274,316
01-01-2019,Uttar Pradesh,1,2008,0,0,327,173,6,1,18914,1038,1849,0,1395,52,0,14,17
01-01-2019,Uttarakhand,0,468,0,0,40,31,1,0,5828,241,390,0,215,20,0,7,3
01-01-2019,Uttarakhand,1,92,0,0,17,15,0,0,922,127,69,0,134,9,0,1,5
01-01-2019,West Bengal,0,3828,4,14,475,648,1,4,69996,1809,3372,6,2051,449,0,124,12
01-01-2019,West Bengal,1,470,0,1,766,140,17,0,7089,843,416,1,1385,227,0,43,15
02-01-2019,A & N Islands,0,10,0,0,3,5,0,0,336,8,9,0,9,2,0,1,0
02-01-2019,A & N Islands,1,3,0,0,0,0,0,0,36,0,2,0,0,0,0,0,0
02-01-2019,Andhra Pradesh,0,1650,6,8,217,99,2,2,58535,653,1692,3,673,67,0,28,19
02-01-2019,Andhra Pradesh,1,475,0,0,493,36,0,0,3328,1230,550,0,1313,31,0,11,8
02-01-2019,Arunachal Pradesh,0,79,0,0,10,20,1,0,228,47,47,0,49,3,0,1,1
02-01-2019,Arunachal Pradesh,1,3,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0
02-01-2019,Assam,0,1732,2,3,226,277,3,1,13526,1467,1455,3,1399,202,0,52,26
02-01-2019,Assam,1,108,0,0,115,11,0,0,449,133,106,0,149,16,0,3,1
02-01-2019,Bihar,0,7754,0,0,130,192,2,4,28053,4770,6732,1,4807,512,0,75,57
02-01-2019,Bihar,1,1008,0,0,3,20,0,1,2978,344,856,0,291,30,0,7,8
02-01-2019,Chandigarh,0,44,1,0,22,13,0,0,165,49,3,0,57,16,0,4,0
02-01-2019,Chandigarh,1,51,0,0,3,15,0,0,3723,18,38,0,20,2,0,1,1
02-01-2019,Chhattisgarh,0,1396,1,6,109,291,47,2,12439,1101,1346,1,1137,129,0,31,37
02-01-2019,Chhattisgarh,1,281,0,0,89,32,0,0,903,188,256,0,195,13,0,5,4
02-01-2019,Dadra & Nagar Haveli,0,16,0,0,7,8,0,0,971,22,15,0,24,8,0,1,1
02-01-2019,Dadra & Nagar Haveli,1,6,0,0,1,0,0,0,1229,2,7,0,3,0,0,0,0
02-01-2019,Daman & Diu,0,13,0,0,3,3,0,0,280,8,10,0,9,2,0,0,0
02-01-2019,Daman & Diu,1,6,0,0,0,0,0,0,70,1,4,0,2,0,0,0,0
02-01-2019,Delhi,0,737,1,2,190,203,2,2,2412,433,94,2,580,135,0,47,32
02-01-2019,Delhi,1,1143,0,0,55,311,2,0,12149,122,769,0,140,23,0,11,8
02-01-2019,Goa,0,62,0,0,13,10,0,0,971,30,43,0,35,8,0,3,1
02-01-2019,Goa,1,14,0,0,8,0,0,0,48,9,13,0,13,1,0,0,0
02-01-2019,Gujarat,0,2472,4,5,214,720,11,3,45853,1603,2085,5,1723,276,0,43,166
02-01-2019,Gujarat,1,1090,0,0,355,63,4,1,20131,1265,986,0,1465,123,0,10,18
02-01-2019,Haryana,0,1131,4,5,99,76,0,1,35600,712,1049,2,772,124,0,26,71
02-01-2019,Haryana,1,390,0,0,159,26,0,0,10162,525,428,0,605,41,0,2,6
02-01-2019,Himachal Pradesh,0,289,1,1,53,45,0,0,10564,215,277,0,227,33,0,6,2
02-01-2019,Himachal Pradesh,1,1,0,0,0,0,0,0,60,0,2,0,0,0,0,0,0
02-01-2019,Jammu & Kashmir,0,806,0,0,170,141,0,0,7678,432,566,2,432,26,0,23,93
02-01-2019,Jammu & Kashmir,1,157,0,0,38,5,0,0,484,42,57,0,44,3,0,4,1
02-01-2019,Jharkhand,0,2312,0,0,133,66,17,1,23372,1801,2012,1,1854,130,0,30,30
02-01-2019,Jharkhand,1,200,0,0,21,3,1,0,522,83,148,0,81,6,0,2,1
02-01-2019,Karnataka,0,2345,4,15,392,504,3,4,35571,1264,2140,3,1408,184,0,85,66
02-01-2019,Karnataka,1,727,0,1,383,102,2,1,8767,869,752,0,1027,64,0,40,17
02-01-2019,Kerala,0,1238,0,1,411,172,0,0,4401,988,1163,0,1050,114,0,39,5
02-01-2019,Kerala,1,186,0,0,100,25,0,0,802,178,122,0,199,20,0,7,1
02-01-2019,Lakshadweep,0,3,0,0,1,4,0,0,81,2,3,0,2,0,0,0,0
02-01-2019,Madhya Pradesh,0,4376,5,12,205,606,17,8,57852,2814,4018,5,2731,469,1,86,122
02-01-2019,Madhya Pradesh,1,823,0,0,197,75,20,1,9462,705,676,0,841,116,0,29,44
02-01-2019,Maharashtra,0,3689,6,17,945,153,3,4,27652,3943,3267,4,3901,451,0,78,158
02-01-2019,Maharashtra,1,1888,1,0,181,109,2,1,17623,675,1801,0,715,106,0,30,48
02-01-2019,Manipur,0,146,0,0,21,29,0,0,392,83,100,0,73,3,0,1,0
02-01-2019,Manipur,1,9,0,0,8,1,0,0,20,13,8,0,13,1,0,0,0
02-01-2019,Meghalaya,0,367,1,0,24,182,1,1,797,215,181,0,140,18,0,11,9
02-01-2019,Meghalaya,1,11,0,0,0,6,0,0,60,0,10,0,0,0,0,0,0
02-01-2019,Mizoram,0,45,0,0,6,26,2,0,255,47,33,0,41,2,0,2,0
02-01-2019,Mizoram,1,20,0,0,3,2,0,0,115,7,16,0,8,0,0,0,0
02-01-2019,Nagaland,0,81,0,0,5,10,0,0,177,39,41,0,38,2,0,1,0
02-01-2019,Nagaland,1,27,0,0,4,2,0,0,116,6,7,0,9,1,0,0,0
02-01-2019,Odisha,0,1734,3,3,376,469,38,1,23079,1652,1665,3,1706,308,0,28,31
02-01-2019,Odisha,1,149,0,0,9,12,0,0,1386,28,142,0,29,5,0,2,2
02-01-2019,Puducherry,0,71,0,0,16,21,0,0,1135,35,15,0,35,5,0,2,0
02-01-2019,Puducherry,1,194,0,0,22,7,0,0,1702,50,25,0,80,11,0,5,4
02-01-2019,Punjab,0,869,3,4,259,79,0,1,49244,604,796,0,713,66,0,18,19
02-01-2019,Punjab,1,309,0,0,151,40,0,0,13272,236,286,0,296,13,0,5,4
02-01-2019,Rajasthan,0,3505,4,5,116,825,17,4,85632,2023,1954,3,2122,288,0,31,76
02-01-2019,Rajasthan,1,1116,4,1,336,96,2,2,8881,1085,399,5,1398,213,0,42,53
02-01-2019,Sikkim,0,22,0,0,4,10,0,0,671,9,15,0,13,1,0,1,0
02-01-2019,Sikkim,1,3,0,0,4,0,0,0,67,3,3,0,7,1,0,0,0
02-01-2019,Tamil Nadu,0,1966,3,20,376,1585,2,0,10261,917,1903,2,1114,157,0,82,45
02-01-2019,Tamil Nadu,1,806,0,1,728,117,0,0,4707,1038,681,0,1398,158,0,31,21
02-01-2019,Telangana,0,1281,2,8,455,78,1,1,9836,848,1119,0,931,69,0,35,42
02-01-2019,Telangana,1,733,0,0,361,51,2,0,1574,457,556,0,684,45,0,22,15
02-01-2019,Tripura,0,159,0,1,24,29,3,0,381,104,123,0,111,13,0,3,2
02-01-2019,Tripura,1,12,0,0,11,1,0,0,56,18,10,0,17,2,0,0,0
02-01-2019,Uttar Pradesh,0,16652,2,2,513,1096,29,17,93098,8618,11925,2,8016,1104,2,275,300
02-01-2019,Uttar Pradesh,1,1895,0,0,322,168,6,0,17314,978,1842,0,1496,52,0,15,17
02-01-2019,Uttarakhand,0,469,0,0,38,32,1,0,5680,240,407,0,224,20,0,7,3
02-01-2019,Uttarakhand,1,92,0,0,16,15,0,0,927,124,65,0,144,9,0,1,5
02-01-2019,West Bengal,0,3730,4,14,450,709,1,4,70814,1948,3512,6,1957,472,0,122,12
02-01-2019,West Bengal,1,487,0,1,754,147,16,0,7128,856,432,1,1369,228,0,46,15
03-01-2019,A & N Islands,0,11,0,0,3,4,0,0,343,8,9,0,10,1,0,1,0
03-01-2019,A & N Islands,1,3,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0
03-01-2019,Andhra Pradesh,0,1692,6,8,229,92,2,2,59441,681,1628,3,693,62,0,28,20
03-01-2019,Andhra Pradesh,1,466,0,0,472,37,0,0,3273,1248,573,0,1325,30,0,11,8
03-01-2019,Arunachal Pradesh,0,80,0,0,10,20,1,0,232,45,50,0,48,3,0,1,1
03-01-2019,Arunachal Pradesh,1,3,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0
03-01-2019,Assam,0,1671,1,3,235,257,3,2,13081,1481,1468,3,1292,212,0,55,26
03-01-2019,Assam,1,107,0,0,119,12,0,0,427,130,102,0,149,17,0,3,1
03-01-2019,Bihar,0,8012,0,0,124,193,2,3,27412,5127,6380,1,4602,504,0,74,59
03-01-2019,Bihar,1,1018,0,0,3,20,0,1,3008,351,877,0,300,31,0,6,8
03-01-2019,Chandigarh,0,43,1,0,22,12,0,0,174,47,3,0,59,15,0,4,0
03-01-2019,Chandigarh,1,50,0,0,3,15,0,0,3735,19,39,0,18,2,0,1,1
03-01-2019,Chhattisgarh,0,1446,1,7,108,286,45,2,11465,1092,1298,1,1033,130,0,32,35
03-01-2019,Chhattisgarh,1,269,0,0,91,30,0,0,900,195,254,0,201,13,0,5,4
03-01-2019,Dadra & Nagar Haveli,0,16,0,0,7,8,0,0,963,22,15,0,23,9,0,1,1
03-01-2019,Dadra & Nagar Haveli,1,6,0,0,2,0,0,0,1295,2,7,0,3,0,0,0,0
03-01-2019,Daman & Diu,0,13,0,0,3,3,0,0,306,8,9,0,9,2,0,0,0
03-01-2019,Daman & Diu,1,6,0,0,1,0,0,0,74,1,3,0,2,0,0,0,0
03-01-2019,Delhi,0,780,1,2,180,199,2,3,2376,424,93,2,596,138,0,47,32
03-01-2019,Delhi,1,1212,0,0,58,323,2,0,11553,113,716,0,138,22,0,11,8
03-01-2019,Goa,0,59,0,0,13,10,0,0,1059,30,43,0,34,8,0,3,1
03-01-2019,Goa,1,14,0,0,8,0,0,0,50,8,12,0,13,1,0,0,0
03-01-2019,Gujarat,0,2421,4,5,222,753,11,3,45411,1603,2125,5,1728,279,0,47,168
03-01-2019,Gujarat,1,1136,0,0,338,62,4,1,20351,1253,1027,0,1420,120,0,10,18
03-01-2019,Haryana,0,1128,3,5,100,72,0,1,35509,701,998,1,734,117,0,25,69
03-01-2019,Haryana,1,409,0,0,158,26,0,0,9779,538,435,0,597,39,0,2,6
03-01-2019,Himachal Pradesh,0,303,1,1,52,43,0,0,9924,227,273,0,225,31,0,6,2
03-01-2019,Himachal Pradesh,1,1,0,0,0,0,0,0,58,0,2,0,0,0,0,0,0
03-01-2019,Jammu & Kashmir,0,801,0,0,176,145,0,0,7555,430,537,2,435,25,0,23,92
03-01-2019,Jammu & Kashmir,1,161,0,0,37,5,0,0,518,41,59,0,44,3,0,4,1
03-01-2019,Jharkhand,0,2484,0,1,140,68,16,1,23158,1840,1912,1,1869,132,0,28,30
03-01-2019,Jharkhand,1,195,0,0,20,3,1,0,541,84,155,0,86,6,0,2,1
03-01-2019,Karnataka,0,2406,4,15,361,545,3,4,35322,1278,2070,3,1460,186,0,90,69
03-01-2019,Karnataka,1,751,0,1,388,108,2,1,8105,928,763,0,1014,64,0,39,18
03-01-2019,Kerala,0,1270,0,1,394,176,0,0,4230,925,1156,0,1045,120,0,39,5
03-01-2019,Kerala,1,184,0,0,97,25,0,0,808,188,114,0,209,19,0,6,1
03-01-2019,Lakshadweep,0,3,0,0,1,4,0,0,83,2,3,0,2,0,0,0,0
03-01-2019,Madhya Pradesh,0,4451,5,12,207,641,17,7,55186,2662,4054,6,2796,467,1,94,115
03-01-2019,Madhya Pradesh,1,833,0,0,194,72,21,1,9418,725,635,0,831,113,0,28,44
03-01-2019,Maharashtra,0,3613,6,17,969,151,3,4,28197,3663,3147,4,4253,492,0,77,171
03-01-2019,Maharashtra,1,1994,1,0,183,104,2,1,17951,664,1839,0,755,105,0,30,48
03-01-2019,Manipur,0,137,0,0,22,28,0,0,363,82,99,0,74,4,0,1,0
03-01-2019,Manipur,1,9,0,0,8,1,0,0,20,13,8,0,14,1,0,0,0
03-01-2019,Meghalaya,0,360,1,0,24,170,1,1,795,215,180,0,141,19,0,11,8
03-01-2019,Meghalaya,1,12,0,0,0,6,0,0,61,0,10,0,0,0,0,0,0
03-01-2019,Mizoram,0,42,0,0,7,28,2,0,250,46,32,0,44,2,0,2,0
03-01-2019,Mizoram,1,19,0,0,2,2,0,0,119,7,16,0,8,0,0,0,0
03-01-2019,Nagaland,0,79,0,0,5,11,0,0,185,38,40,0,37,2,0,1,0
03-01-2019,Nagaland,1,26,0,0,4,2,0,0,110,6,7,0,9,1,0,0,0
03-01-2019,Odisha,0,1760,3,3,372,455,41,1,23459,1524,1607,3,1575,326,0,27,33
03-01-2019,Odisha,1,143,0,0,9,12,0,0,1411,27,140,0,30,5,0,2,2
03-01-2019,Puducherry,0,71,0,0,15,20,0,0,1187,35,15,0,34,5,0,2,0
03-01-2019,Puducherry,1,200,0,0,23,7,0,0,1580,52,25,0,77,11,0,5,4
03-01-2019,Punjab,0,904,3,4,261,77,0,0,49625,603,793,0,710,64,0,19,20
03-01-2019,Punjab,1,297,0,0,140,41,0,0,13602,240,271,0,311,13,0,5,4
03-01-2019,Rajasthan,0,3574,4,5,118,811,16,4,92392,2077,2021,3,2295,293,0,34,75
03-01-2019,Rajasthan,1,1165,3,1,322,100,2,2,9126,1099,368,5,1376,205,0,42,55
03-01-2019,Sikkim,0,23,0,0,4,10,0,0,620,10,14,0,12,1,0,1,0
03-01-2019,Sikkim,1,3,0,0,4,0,0,0,69,3,3,0,7,1,0,0,0
03-01-2019,Tamil Nadu,0,2058,3,18,364,1580,2,0,10340,906,1852,2,1028,159,0,84,45
03-01-2019,Tamil Nadu,1,872,0,1,774,117,0,0,4592,988,710,0,1477,159,0,31,20
03-01-2019,Telangana,0,1257,2,8,442,80,1,1,9503,877,1122,0,996,65,0,34,42
03-01-2019,Telangana,1,798,0,0,376,51,2,0,1626,460,521,0,740,45,0,22,16
03-01-2019,Tripura,0,161,0,1,25,29,3,0,381,112,116,0,109,14,0,3,2
03-01-2019,Tripura,1,12,0,0,11,1,0,0,57,17,9,0,17,2,0,0,0
03-01-2019,Uttar Pradesh,0,15392,2,1,518,1190,29,17,92456,9050,12704,2,8338,1127,3,268,327
03-01-2019,Uttar Pradesh,1,2000,0,0,322,172,6,1,18186,1031,1909,0,1388,57,0,15,17
03-01-2019,Uttarakhand,0,510,0,0,39,33,1,0,5531,227,414,0,222,21,0,7,3
03-01-2019,Uttarakhand,1,93,0,0,16,14,0,0,939,120,65,0,134,9,0,1,5
03-01-2019,West Bengal,0,3918,4,13,464,666,1,4,71700,1912,3278,6,1987,451,0,119,12
03-01-2019,West Bengal,1,499,0,1,780,143,15,0,6750,875,452,1,1337,227,0,47,15
04-01-2019,A & N Islands,0,10,0,0,3,5,0,0,340,8,9,0,9,2,0,1,0
04-01-2019,A & N Islands,1,2,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0
04-01-2019,Andhra Pradesh,0,1612,6,7,227,100,2,2,56404,686,1666,3,707,66,0,28,19
04-01-2019,Andhra Pradesh,1,447,0,0,486,36,0,0,3242,1255,522,0,1255,30,0,11,8
04-01-2019,Arunachal Pradesh,0,78,0,0,10,22,1,0,227,49,51,0,52,3,0,2,1
04-01-2019,Arunachal Pradesh,1,3,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0
04-01-2019,Assam,0,1677,2,3,236,280,3,2,13750,1369,1507,3,1320,213,0,57,27
04-01-2019,Assam,1,107,0,0,119,11,0,0,455,125,106,0,151,17,0,3,1
04-01-2019,Bihar,0,8394,0,0,122,184,2,3,25920,5133,6876,1,4801,532,0,79,61
04-01-2019,Bihar,1,1027,0,0,3,21,0,1,3115,340,845,0,292,31,0,7,7
04-01-2019,Chandigarh,0,44,1,0,21,13,0,0,173,45,3,0,55,16,0,4,0
04-01-2019,Chandigarh,1,53,0,0,3,15,0,0,3823,18,38,0,18,2,0,1,1
04-01-2019,Chhattisgarh,0,1418,1,7,111,282,46,2,12203,1035,1261,1,1035,134,0,33,36
04-01-2019,Chhattisgarh,1,279,0,0,93,30,0,0,840,181,259,0,199,13,0,5,4
04-01-2019,Dadra & Nagar Haveli,0,16,0,0,7,8,0,0,947,21,16,0,22,9,0,1,1
04-01-2019,Dadra & Nagar Haveli,1,5,0,0,2,0,0,0,1276,2,7,0,3,0,0,0,0
04-01-2019,Daman & Diu,0,12,0,0,3,3,0,0,294,8,9,0,9,2,0,0,0
04-01-2019,Daman & Diu,1,6,0,0,1,0,0,0,73,1,3,0,2,0,0,0,0
04-01-2019,Delhi,0,761,1,2,190,195,2,3,2539,433,91,2,573,135,0,46,33
04-01-2019,Delhi,1,1185,0,0,56,308,3,0,12131,113,701,0,139,23,0,11,8
04-01-2019,Goa,0,62,0,0,14,10,0,0,1052,29,41,0,37,8,0,3,1
04-01-2019,Goa,1,13,0,0,8,0,0,0,49,8,13,0,13,1,0,0,0
04-01-2019,Gujarat,0,2369,4,5,219,712,11,3,45371,1518,1983,5,1750,254,0,46,169
04-01-2019,Gujarat,1,1057,0,0,333,63,4,1,20162,1241,1046,0,1479,117,0,10,19
04-01-2019,Haryana,0,1143,4,5,99,77,0,1,34012,752,995,2,744,122,0,25,71
04-01-2019,Haryana,1,383,0,0,149,25,0,0,9881,565,418,0,570,39,0,2,6
04-01-2019,Himachal Pradesh,0,283,1,1,55,45,0,0,10257,211,265,0,213,32,0,6,2
04-01-2019,Himachal Pradesh,1,1,0,0,0,0,0,0,58,0,3,0,0,0,0,0,0
04-01-2019,Jammu & Kashmir,0,787,0,0,172,141,0,0,6970,434,536,2,458,26,0,23,93
04-01-2019,Jammu & Kashmir,1,158,0,0,39,5,0,0,488,42,61,0,45,3,0,4,1
04-01-2019,Jharkhand,0,2365,0,1,138,67,16,1,23443,1721,1922,1,1800,133,0,28,30
04-01-2019,Jharkhand,1,200,0,0,21,3,1,0,537,81,157,0,85,6,0,2,1
04-01-2019,Karnataka,0,2355,4,15,372,502,3,4,34219,1295,2097,3,1426,191,0,93,67
04-01-2019,Karnataka,1,727,0,1,414,109,2,1,8433,894,721,0,991,62,0,39,18
04-01-2019,Kerala,0,1268,0,1,400,174,0,0,4250,932,1088,0,1054,114,0,39,5
04-01-2019,Kerala,1,191,0,0,100,25,0,0,790,192,118,0,204,20,0,7,1
04-01-2019,Lakshadweep,0,3,0,0,1,4,0,0,76,2,3,0,2,0,0,0,0
04-01-2019,Madhya Pradesh,0,4092,5,12,208,612,17,8,55207,2793,3907,5,2783,445,1,88,124
04-01-2019,Madhya Pradesh,1,830,0,0,191,76,21,1,9267,707,656,0,832,117,0,28,44
04-01-2019,Maharashtra,0,3461,6,17,950,155,3,4,28768,3876,3443,4,4113,460,0,79,170
04-01-2019,Maharashtra,1,1929,1,0,173,109,2,1,18422,671,1908,0,717,103,0,27,49
04-01-2019,Manipur,0,136,0,0,22,27,0,0,370,85,98,0,78,3,0,1,0
04-01-2019,Manipur,1,9,0,0,9,1,0,0,19,13,8,0,13,1,0,0,0
04-01-2019,Meghalaya,0,360,1,0,22,173,1,1,800,217,167,0,145,19,0,11,9
04-01-2019,Meghalaya,1,11,0,0,0,6,0,0,57,0,10,0,0,0,0,0,0
04-01-2019,Mizoram,0,44,0,0,7,27,2,0,268,46,33,0,42,2,0,2,0
04-01-2019,Mizoram,1,20,0,0,3,2,0,0,111,7,16,0,8,0,0,0,0
04-01-2019,Nagaland,0,81,0,0,5,10,0,0,180,41,40,0,38,2,0,1,0
04-01-2019,Nagaland,1,26,0,0,4,2,0,0,112,6,7,0,8,1,0,0,0
04-01-2019,Odisha,0,1710,3,3,364,484,40,2,22847,1653,1700,3,1604,302,0,29,31
04-01-2019,Odisha,1,149,0,0,9,12,0,0,1400,29,130,0,28,5,0,2,2
04-01-2019,Puducherry,0,72,0,0,15,20,0,0,1142,33,16,0,35,5,0,2,0
04-01-2019,Puducherry,1,190,0,0,22,7,0,0,1561,51,24,0,78,12,0,5,4
04-01-2019,Punjab,0,837,3,4,241,82,0,1,45351,553,767,0,687,64,0,17,19
04-01-2019,Punjab,1,309,0,0,139,39,0,0,13029,233,286,0,311,13,0,5,4
04-01-2019,Rajasthan,0,3385,4,5,111,808,17,4,85475,2077,1977,3,2220,285,0,31,78
04-01-2019,Rajasthan,1,1135,4,1,326,104,2,2,9086,1116,371,5,1383,215,0,45,54
04-01-2019,Sikkim,0,23,0,0,4,9,0,0,625,10,15,0,12,1,0,1,0
04-01-2019,Sikkim,1,3,0,0,4,0,0,0,66,3,3,0,7,1,0,0,0
04-01-2019,Tamil Nadu,0,1952,3,20,396,1614,2,0,11257,857,1914,2,1106,152,0,78,48
04-01-2019,Tamil Nadu,1,872,0,1,730,109,0,0,4696,1079,738,0,1452,163,0,32,20
